"methods.id"; "committer_date"; "commit_hash"; "run"; "class_name"; "method_name"; "method_started_at"; "method_ended_at"; "caller_id"; "own_duration"; "cumulative_duration"; "active"; "available"; "buffers"; "cached "; "child_major_faults"; "child_minor_faults"; "commit_limit"; "committed_as"; "cpu_percent"; "data"; "dirty"; "free"; "high_free"; "high_total"; "huge_pages_total"; "huge_pages_free"; "huge_pages_total1"; "hwm"; "inactive"; "laundry"; "load1"; "load5"; "load15"; "locked"; "low_free"; "low_total"; "major_faults"; "mapped"; "mem_percent"; "minor_faults"; "page_tables"; "pg_fault"; "pg_in"; "pg_maj_faults"; "pg_out"; "read_bytes"; "read_count"; "rss"; "shared"; "sin"; "slab"; "sout"; "sreclaimable"; "stack"; "sunreclaim"; "swap"; "swap_cached"; "swap_free"; "swap_total"; "swap_used"; "swap_used_percent "; "total"; "used"; "used_percent"; "vm_s"; "vmalloc_chunk"; "vmalloc_total"; "vmalloc_used"; "wired"; "write_back"; "write_back_tmp"; "write_bytes"; "write_count"
"4393485";"2019-01-24 09:03:51.000";"f38847e90714fbefc33042912d1282cc4fb7d43e";"4705";"src/main/java/org/apache/bcel/classfile/AccessFlags1.java";"public final boolean org.apache.bcel.classfile.AccessFlags.isAbstract()";"2022-10-01 07:35:25.218";"2022-10-01 07:35:25.316";"4393305";"117";"117";"2022-10-01 07:35:25.249";"8297594880";"43035848704";"1283792896";"41501921280";"0";"0";"28512997376";"6130388992";"18.46079503797129";"0";"81920";"831700992";"0";"0";"0";"0";"0";"0";"39343042560";"0";"34.36";"34.83";"34.6";"0";"0";"0";"0";"127483904";"1.40728";"2316372";"15327232";"0";"0";"0";"0";"0";"90569";"711852032";"147456";"94208";"1839316992";"1540096";"1556221952";"0";"283095040";"0";"49152";"3215704064";"3221221376";"5517312";"0.17128012502050402";"50583552000";"6966136832";"13.771545406696628";"17937408000";"0";"35184372087808";"145444864";"0";"0";"0";"5775360";"17169"
"4385107";"2019-01-24 09:03:51.000";"f38847e90714fbefc33042912d1282cc4fb7d43e";"4703";"src/main/java/org/apache/bcel/classfile/AccessFlags1.java";"public final boolean org.apache.bcel.classfile.AccessFlags.isAbstract()";"2022-10-01 06:58:33.489";"2022-10-01 06:58:33.654";"4385106";"184";"184";"2022-10-01 06:58:33.590";"8120270848";"43200987136";"1283489792";"41540284416";"0";"0";"28512997376";"6003785728";"18.501560103327314";"0";"106496";"959000576";"0";"0";"0";"0";"0";"0";"39383490560";"0";"34.08";"34.11";"34.17";"0";"0";"0";"0";"127488000";"1.08484";"1830635";"15089664";"0";"0";"0";"0";"0";"92406";"548749312";"143360";"90112";"1838923776";"1540096";"1556226048";"0";"282697728";"0";"49152";"3215704064";"3221221376";"5517312";"0.17128012502050402";"50583552000";"6800777216";"13.44464148346087";"17937408000";"0";"35184372087808";"145281024";"0";"0";"0";"5726208";"17559"
"4382638";"2019-01-24 09:03:51.000";"f38847e90714fbefc33042912d1282cc4fb7d43e";"4703";"src/main/java/org/apache/bcel/classfile/AccessFlags.java";"public final boolean org.apache.bcel.classfile.AccessFlags.isAbstract()";"2022-10-01 06:48:08.549";"2022-10-01 06:48:08.678";"4382637";"150";"150";"2022-10-01 06:48:08.672";"8479113216";"42833358848";"1283485696";"41509998592";"0";"0";"28512997376";"6318587904";"25.30201680292146";"0";"40960";"621436928";"0";"0";"0";"0";"0";"0";"39354032128";"0";"34.07";"34.33";"34.32";"0";"0";"0";"0";"127483904";"1.59769";"1335561";"15556608";"0";"0";"0";"0";"0";"54031";"808169472";"143360";"90112";"1838673920";"1540096";"1556094976";"0";"282578944";"0";"49152";"3215704064";"3221221376";"5517312";"0.17128012502050402";"50583552000";"7168630784";"14.171861208955827";"17935310848";"0";"35184372087808";"145395712";"0";"0";"0";"2080768";"6451"
"4346466";"2019-01-24 09:03:51.000";"f38847e90714fbefc33042912d1282cc4fb7d43e";"4683";"src/main/java/org/apache/bcel/classfile/AccessFlags.java";"public final boolean org.apache.bcel.classfile.AccessFlags.isAbstract()";"2022-10-01 03:56:13.983";"2022-10-01 03:56:14.063";"4346048";"100";"100";"2022-10-01 03:56:14.024";"8065265664";"43334176768";"1284071424";"42115096576";"0";"0";"28512997376";"6251790336";"40.49325564435996";"0";"81920";"516575232";"0";"0";"0";"0";"0";"0";"39874191360";"0";"34.48";"34.65";"34.37";"0";"0";"0";"0";"127283200";"1.1198";"714994";"14839808";"0";"0";"0";"0";"0";"35893";"566435840";"143360";"90112";"1838723072";"1540096";"1555755008";"0";"282968064";"0";"49152";"3215704064";"3221221376";"5517312";"0.17128012502050402";"50583552000";"6667808768";"13.181772541398438";"17935310848";"0";"35184372087808";"145395712";"0";"0";"0";"913408";"1945"
"4345174";"2019-01-24 09:03:51.000";"f38847e90714fbefc33042912d1282cc4fb7d43e";"4681";"src/main/java/org/apache/bcel/classfile/AccessFlags.java";"public final boolean org.apache.bcel.classfile.AccessFlags.X()";"2022-10-01 03:49:39.763";"2022-10-01 03:49:39.895";"4344756";"151";"151";"2022-10-01 03:49:39.805";"8017428480";"43397259264";"1284050944";"42063933440";"0";"0";"28512997376";"6277541888";"38.154807964745814";"0";"114688";"630837248";"0";"0";"0";"0";"0";"0";"39824855040";"0";"34.34";"33.98";"34.03";"0";"0";"0";"0";"127348736";"1.07252";"573895";"14761984";"0";"0";"0";"0";"0";"36056";"542519296";"143360";"90112";"1838534656";"1540096";"1555722240";"0";"282812416";"0";"49152";"3215704064";"3221221376";"5517312";"0.17128012502050402";"50583552000";"6604730368";"13.057071136483259";"17935310848";"0";"35184372087808";"145313792";"0";"0";"0";"622592";"1945"
"4344376";"2019-01-24 09:03:51.000";"f38847e90714fbefc33042912d1282cc4fb7d43e";"4680";"src/main/java/org/apache/bcel/classfile/AccessFlags.java";"public final boolean org.apache.bcel.classfile.AccessFlags.X()";"2022-10-01 03:43:30.508";"2022-10-01 03:43:30.601";"4343780";"117";"117";"2022-10-01 03:43:30.586";"8146169856";"43283931136";"1284034560";"42024239104";"0";"0";"28512997376";"6241513472";"34.59101189004833";"0";"102400";"557223936";"0";"0";"0";"0";"0";"0";"39786229760";"0";"34.08";"34.4";"34.17";"0";"0";"0";"0";"127295488";"1.14211";"700725";"14925824";"0";"0";"0";"0";"0";"38952";"577720320";"143360";"90112";"1838317568";"1540096";"1555689472";"0";"282628096";"0";"49152";"3215704064";"3221221376";"5517312";"0.17128012502050402";"50583552000";"6718054400";"13.28110449815782";"17935310848";"0";"35184372087808";"145330176";"0";"0";"0";"1122304";"2767"
"4359671";"2019-01-24 09:03:51.000";"f38847e90714fbefc33042912d1282cc4fb7d43e";"4697";"src/main/java/org/apache/bcel/classfile/AccessFlags.java";"public final boolean org.apache.bcel.classfile.AccessFlags.X()";"2022-10-01 05:03:58.907";"2022-10-01 05:03:58.990";"4359670";"101";"101";"2022-10-01 05:03:58.945";"8154468352";"43158519808";"1283981312";"41753640960";"0";"9522";"28512997376";"6173433856";"18.515961086681987";"0";"131072";"702464000";"0";"0";"0";"0";"0";"0";"39617712128";"0";"35.11";"34.2";"34.23";"0";"0";"0";"0";"127193088";"1.23741";"1894333";"15343616";"0";"0";"0";"0";"0";"91617";"625926144";"143360";"90112";"1837309952";"1540096";"1554989056";"0";"282320896";"0";"49152";"3215704064";"3221221376";"5517312";"0.17128012502050402";"50583552000";"6843465728";"13.52903356411191";"18004750336";"0";"35184372087808";"145297408";"0";"0";"0";"3002368";"17622"
"4359579";"2019-01-24 09:03:51.000";"f38847e90714fbefc33042912d1282cc4fb7d43e";"4697";"src/main/java/org/apache/bcel/classfile/AccessFlags.java";"public final boolean org.apache.bcel.classfile.AccessFlags.isAbstract()";"2022-10-01 05:03:34.746";"2022-10-01 05:03:34.870";"4359399";"142";"142";"2022-10-01 05:03:34.855";"8195846144";"43118804992";"1283981312";"41752399872";"0";"9522";"28512997376";"6173433856";"18.499694383838904";"0";"77824";"663986176";"0";"0";"0";"0";"0";"0";"39616565248";"0";"33.95";"33.93";"34.15";"0";"0";"0";"0";"127193088";"1.26065";"1873072";"15360000";"0";"0";"0";"0";"0";"90133";"637681664";"143360";"90112";"1837309952";"1540096";"1554989056";"0";"282320896";"0";"49152";"3215704064";"3221221376";"5517312";"0.17128012502050402";"50583552000";"6883184640";"13.607554961739341";"18004750336";"0";"35184372087808";"145297408";"0";"0";"0";"2871296";"17232"
"4357202";"2019-01-24 09:03:51.000";"f38847e90714fbefc33042912d1282cc4fb7d43e";"4697";"src/main/java/org/apache/bcel/classfile/AccessFlags.java";"public final boolean org.apache.bcel.classfile.AccessFlags.isAbstract()";"2022-10-01 04:53:38.088";"2022-10-01 04:53:38.219";"4357201";"225";"225";"2022-10-01 04:53:38.146";"8327147520";"42989899776";"1283964928";"41724424192";"0";"9522";"28512997376";"6442639360";"25.85177337266291";"0";"94208";"563073024";"0";"0";"0";"0";"0";"0";"39589388288";"0";"33.64";"34.25";"34.4";"0";"0";"0";"0";"127188992";"1.71456";"1269220";"15618048";"0";"0";"0";"0";"0";"53345";"867282944";"143360";"90112";"1837391872";"1540096";"1554923520";"0";"282468352";"0";"49152";"3215704064";"3221221376";"5517312";"0.17128012502050402";"50583552000";"7012089856";"13.862391189926718";"18004750336";"0";"35184372087808";"145313792";"0";"0";"0";"1056768";"6514"
"4322900";"2019-01-24 09:03:51.000";"f38847e90714fbefc33042912d1282cc4fb7d43e";"4615";"src/main/java/org/apache/bcel/classfile/AccessFlags.java";"public final boolean org.apache.bcel.classfile.AccessFlags.isAbstract()";"2022-10-01 01:17:45.994";"2022-10-01 01:17:46.191";"4322849";"217";"217";"2022-10-01 01:17:46.008";"8262987776";"43143516160";"1284964352";"41585774592";"0";"0";"28512997376";"6261886976";"17.749799237508558";"0";"69632";"854347776";"0";"0";"0";"0";"0";"0";"39379435520";"0";"33.94";"33.96";"34.33";"0";"0";"0";"0";"127275008";"1.43337";"1231481";"15245312";"0";"0";"0";"0";"0";"68727";"725049344";"143360";"90112";"1837768704";"1540096";"1554432000";"0";"283336704";"0";"49152";"3215704064";"3221221376";"5517312";"0.17128012502050402";"50583552000";"6858465280";"13.558686586501478";"17935310848";"0";"35184372087808";"145362944";"0";"0";"0";"2629632";"10593"
