,commit_hash,class_name,active,available,cached ,cpu_percent, free,inactive,mem_percent,minor_faults,read_count,rss,used,used_percent,PROJECT_NAME,CURRENT_COMMIT,PREVIOUS_COMMIT,CLASS_CURRENTCOMMIT,CLASS_PREVIOUSCOMMIT,STATEMENT_DELETE,STATEMENT_INSERT,STATEMENT_ORDERING_CHANGE,STATEMENT_PARENT_CHANGE,STATEMENT_UPDATE,TOTAL_STATEMENTLEVELCHANGES,PARENT_CLASS_CHANGE,PARENT_CLASS_DELETE,PARENT_CLASS_INSERT,CLASS_RENAMING,TOTAL_CLASSDECLARATIONCHANGES,RETURN_TYPE_CHANGE,RETURN_TYPE_DELETE,RETURN_TYPE_INSERT,METHOD_RENAMING,PARAMETER_DELETE,PARAMETER_INSERT,PARAMETER_ORDERING_CHANGE,PARAMETER_RENAMING,PARAMETER_TYPE_CHANGE,TOTAL_METHODDECLARATIONSCHANGES,ATTRIBUTE_RENAMING,ATTRIBUTE_TYPE_CHANGE,TOTAL_ATTRIBUTEDECLARATIONCHANGES,ADDING_ATTRIBUTE_MODIFIABILITY,REMOVING_ATTRIBUTE_MODIFIABILITY,REMOVING_CLASS_DERIVABILITY,REMOVING_METHOD_OVERRIDABILITY,ADDING_CLASS_DERIVABILITY,ADDING_CLASS_DERIVABILITY,ADDING_METHOD_OVERRIDABILITY,TOTAL_DECLARATIONPARTCHANGES,TOTAL_CHANGES
0,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,src/main/java/org/apache/bcel/classfile/AccessFlags.java,7611380927.9195,43944454636.0352,42527705270.9031,22.092132751933686,711750368.7648,40153764056.3925,1.2003908796130487,1228534.3132,66488.0566,607200344.8755,6057521409.6101,11.975278860626606,commons-bcel,9cd000cc265bfd0997e0277363dbe28ed8a28714,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,/groups/ilabt-imec-be/software-performance/changedistiller/projectA/commons-bcel/src/main/java/org/apache/bcel/classfile/AccessFlags.java,/groups/ilabt-imec-be/software-performance/changedistiller/projectB/commons-bcel/src/main/java/org/apache/bcel/classfile/AccessFlags.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,src/main/java/org/apache/bcel/classfile/AnnotationElementValue.java,7703513884.8582,43842729514.8218,42140373706.9382,33.00164669782117,998601448.7273,39778745638.1673,1.239863048250025,793918.3636,34498.0473,627166770.2691,6159243941.7018,12.176376901530793,commons-bcel,9cd000cc265bfd0997e0277363dbe28ed8a28714,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,/groups/ilabt-imec-be/software-performance/changedistiller/projectA/commons-bcel/src/main/java/org/apache/bcel/classfile/AnnotationElementValue.java,/groups/ilabt-imec-be/software-performance/changedistiller/projectB/commons-bcel/src/main/java/org/apache/bcel/classfile/AnnotationElementValue.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,src/main/java/org/apache/bcel/classfile/AnnotationEntry.java,7814394415.3206,43833857899.6436,42362990414.6545,25.98717288400284,767772090.5112,39898439465.1391,1.627026077263758,1165087.4746,39917.6112,823007598.6278,6168116920.5928,12.19391813487682,commons-bcel,9cd000cc265bfd0997e0277363dbe28ed8a28714,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,/groups/ilabt-imec-be/software-performance/changedistiller/projectA/commons-bcel/src/main/java/org/apache/bcel/classfile/AnnotationEntry.java,/groups/ilabt-imec-be/software-performance/changedistiller/projectB/commons-bcel/src/main/java/org/apache/bcel/classfile/AnnotationEntry.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,src/main/java/org/apache/bcel/classfile/Annotations.java,7940942057.5688,43760993586.2031,42431770367.6439,22.900469464803,626585488.9124,39912932618.3255,1.894568783973288,1316511.016,38775.7622,958340185.7246,6240985384.2337,12.337973782927806,commons-bcel,9cd000cc265bfd0997e0277363dbe28ed8a28714,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,/groups/ilabt-imec-be/software-performance/changedistiller/projectA/commons-bcel/src/main/java/org/apache/bcel/classfile/Annotations.java,/groups/ilabt-imec-be/software-performance/changedistiller/projectB/commons-bcel/src/main/java/org/apache/bcel/classfile/Annotations.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,src/main/java/org/apache/bcel/classfile/ArrayElementValue.java,7659353141.8947,43867658778.9474,42284086110.3158,31.198484360133545,879712794.9474,39938304754.5263,1.298941593421133,739349.5789,29161.9474,657050785.6842,6134308217.2632,12.127080789548266,commons-bcel,9cd000cc265bfd0997e0277363dbe28ed8a28714,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,/groups/ilabt-imec-be/software-performance/changedistiller/projectA/commons-bcel/src/main/java/org/apache/bcel/classfile/ArrayElementValue.java,/groups/ilabt-imec-be/software-performance/changedistiller/projectB/commons-bcel/src/main/java/org/apache/bcel/classfile/ArrayElementValue.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,src/main/java/org/apache/bcel/classfile/Attribute.java,7550968630.9425,44038492727.676,42576453311.4079,22.64514052307017,757530075.3046,40167773657.5943,1.1208394495260838,1198449.8548,67987.2355,566960442.4217,5963483124.6988,11.789372017011845,commons-bcel,9cd000cc265bfd0997e0277363dbe28ed8a28714,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,/groups/ilabt-imec-be/software-performance/changedistiller/projectA/commons-bcel/src/main/java/org/apache/bcel/classfile/Attribute.java,/groups/ilabt-imec-be/software-performance/changedistiller/projectB/commons-bcel/src/main/java/org/apache/bcel/classfile/Attribute.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,src/main/java/org/apache/bcel/classfile/BootstrapMethod.java,7562114402.38,43975570165.3484,42546724412.8087,19.449090029316174,723643691.59,40188285453.6097,1.089967241716113,1265406.2588,70185.7893,551344179.8648,6026404998.9274,11.913763981871831,commons-bcel,9cd000cc265bfd0997e0277363dbe28ed8a28714,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,/groups/ilabt-imec-be/software-performance/changedistiller/projectA/commons-bcel/src/main/java/org/apache/bcel/classfile/BootstrapMethod.java,/groups/ilabt-imec-be/software-performance/changedistiller/projectB/commons-bcel/src/main/java/org/apache/bcel/classfile/BootstrapMethod.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,src/main/java/org/apache/bcel/classfile/BootstrapMethods.java,7684590368.5818,43846690406.4,42176198376.7273,16.406996463351867,966494822.4,39830834399.4182,0.9837103822014548,1395463.2455,60597.0227,497595652.6545,6155286751.4182,12.168553824409525,commons-bcel,9cd000cc265bfd0997e0277363dbe28ed8a28714,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,/groups/ilabt-imec-be/software-performance/changedistiller/projectA/commons-bcel/src/main/java/org/apache/bcel/classfile/BootstrapMethods.java,/groups/ilabt-imec-be/software-performance/changedistiller/projectB/commons-bcel/src/main/java/org/apache/bcel/classfile/BootstrapMethods.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,src/main/java/org/apache/bcel/classfile/ClassParser.java,7585648282.0759,44010189655.7369,42565178218.1991,27.94938123610657,740674427.4507,40150246988.1716,1.172248562647691,998484.6295,49121.947,592965188.3933,5991785000.927,11.845322766038816,commons-bcel,9cd000cc265bfd0997e0277363dbe28ed8a28714,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,/groups/ilabt-imec-be/software-performance/changedistiller/projectA/commons-bcel/src/main/java/org/apache/bcel/classfile/ClassParser.java,/groups/ilabt-imec-be/software-performance/changedistiller/projectB/commons-bcel/src/main/java/org/apache/bcel/classfile/ClassParser.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,src/main/java/org/apache/bcel/classfile/Code.java,7587578890.859,43986433669.6738,42595049112.5684,23.16826780237596,686442910.3779,40202252855.7065,1.2153482450407358,1035685.9591,56259.3473,614766347.0218,6015543297.3031,11.892291188454031,commons-bcel,9cd000cc265bfd0997e0277363dbe28ed8a28714,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,/groups/ilabt-imec-be/software-performance/changedistiller/projectA/commons-bcel/src/main/java/org/apache/bcel/classfile/Code.java,/groups/ilabt-imec-be/software-performance/changedistiller/projectB/commons-bcel/src/main/java/org/apache/bcel/classfile/Code.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
