file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/mnt/sda4/software-metrics/static_metrics/jgit/org.eclipse.jgit.test/tst/org/eclipse/jgit/transport/HMACSHA1NonceGeneratorTest.java,org.eclipse.jgit.transport.HMACSHA1NonceGeneratorTest,setUp/0,false,63,4,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,17,1,0,false
/mnt/sda4/software-metrics/static_metrics/jgit/org.eclipse.jgit.test/tst/org/eclipse/jgit/transport/HMACSHA1NonceGeneratorTest.java,org.eclipse.jgit.transport.HMACSHA1NonceGeneratorTest,signedByDifferentKey/0,false,115,2,0,0,0,1,4,7,0,3,0,4,0,0,0,0,0,0,1,1,3,0,0,0,0,0,19,1,0,false
/mnt/sda4/software-metrics/static_metrics/jgit/org.eclipse.jgit.test/tst/org/eclipse/jgit/transport/HMACSHA1NonceGeneratorTest.java,org.eclipse.jgit.transport.HMACSHA1NonceGeneratorTest,invalidFormat/0,false,79,1,0,0,0,1,7,9,0,3,0,7,0,0,0,0,0,0,2,4,3,3,0,0,0,0,10,1,0,false
/mnt/sda4/software-metrics/static_metrics/jgit/org.eclipse.jgit.test/tst/org/eclipse/jgit/transport/HMACSHA1NonceGeneratorTest.java,org.eclipse.jgit.transport.HMACSHA1NonceGeneratorTest,slop/0,false,91,1,0,0,0,1,3,10,0,2,0,3,0,0,0,0,0,0,0,7,2,1,0,0,0,0,6,1,0,false
/mnt/sda4/software-metrics/static_metrics/jgit/org.eclipse.jgit.test/tst/org/eclipse/jgit/transport/HMACSHA1NonceGeneratorTest.java,org.eclipse.jgit.transport.HMACSHA1NonceGeneratorTest,signedByDifferentKeyWithSlop/0,false,125,2,0,0,0,1,3,6,0,3,0,3,0,0,0,0,0,0,1,2,3,1,0,0,0,0,20,1,0,false
/mnt/sda4/software-metrics/static_metrics/jgit/org.eclipse.jgit.test/tst/org/eclipse/jgit/transport/HMACSHA1NonceGeneratorTest.java,org.eclipse.jgit.transport.HMACSHA1NonceGeneratorTest,missing/0,false,69,1,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,1,0,false
/mnt/sda4/software-metrics/static_metrics/jgit/org.eclipse.jgit.test/tst/org/eclipse/jgit/transport/HMACSHA1NonceGeneratorTest.java,org.eclipse.jgit.transport.HMACSHA1NonceGeneratorTest,ok/0,false,109,1,0,0,0,1,3,4,0,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,1,0,false
/mnt/sda4/software-metrics/static_metrics/jgit/org.eclipse.jgit.test/tst/org/eclipse/jgit/transport/HMACSHA1NonceGeneratorTest.java,org.eclipse.jgit.transport.HMACSHA1NonceGeneratorTest,unsolicited/0,false,74,1,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,1,0,false
/mnt/sda4/software-metrics/static_metrics/jgit/org.eclipse.jgit/src/org/eclipse/jgit/transport/JschSession.java,org.eclipse.jgit.transport.JschSession$JschProcess,setupStreams/0,false,173,1,3,1,2,2,4,29,0,4,0,4,0,0,0,0,0,0,0,1,8,0,1,1,0,0,24,2,0,false
/mnt/sda4/software-metrics/static_metrics/jgit/org.eclipse.jgit/src/org/eclipse/jgit/transport/JschSession.java,org.eclipse.jgit.transport.JschSession$JschProcess,getInputStream/0,false,214,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/mnt/sda4/software-metrics/static_metrics/jgit/org.eclipse.jgit/src/org/eclipse/jgit/transport/JschSession.java,org.eclipse.jgit.transport.JschSession$JschProcess,destroy/0,false,240,0,0,0,0,2,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,false
/mnt/sda4/software-metrics/static_metrics/jgit/org.eclipse.jgit/src/org/eclipse/jgit/transport/JschSession.java,org.eclipse.jgit.transport.JschSession$JschProcess,closeOutputStream/0,false,163,0,1,1,0,3,1,9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,9,2,0,false
/mnt/sda4/software-metrics/static_metrics/jgit/org.eclipse.jgit/src/org/eclipse/jgit/transport/JschSession.java,org.eclipse.jgit.transport.JschSession$JschProcess,waitFor/0,false,246,1,2,0,2,2,3,4,1,0,0,3,2,2,1,0,0,0,0,1,0,0,1,0,0,0,8,1,0,false
/mnt/sda4/software-metrics/static_metrics/jgit/org.eclipse.jgit/src/org/eclipse/jgit/transport/JschSession.java,org.eclipse.jgit.transport.JschSession$JschProcess,"JschProcess/2[java.lang.String,int]",true,145,3,3,1,2,4,8,17,0,0,2,8,2,1,0,0,1,0,1,3,2,1,2,0,0,0,41,0,0,true
/mnt/sda4/software-metrics/static_metrics/jgit/org.eclipse.jgit/src/org/eclipse/jgit/transport/JschSession.java,org.eclipse.jgit.transport.JschSession$JschProcess,getErrorStream/0,false,224,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/mnt/sda4/software-metrics/static_metrics/jgit/org.eclipse.jgit/src/org/eclipse/jgit/transport/JschSession.java,org.eclipse.jgit.transport.JschSession$JschProcess,getOutputStream/0,false,219,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/mnt/sda4/software-metrics/static_metrics/jgit/org.eclipse.jgit/src/org/eclipse/jgit/transport/JschSession.java,org.eclipse.jgit.transport.JschSession$JschProcess,isRunning/0,false,235,0,2,2,0,2,2,3,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,false
/mnt/sda4/software-metrics/static_metrics/jgit/org.eclipse.jgit/src/org/eclipse/jgit/transport/JschSession.java,org.eclipse.jgit.transport.JschSession$JschProcess,exitValue/0,false,229,1,2,1,1,2,2,4,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,false
/mnt/sda4/software-metrics/static_metrics/jgit/org.eclipse.jgit/src/org/eclipse/jgit/api/Status.java,org.eclipse.jgit.api.Status,getMissing/0,false,133,1,1,0,1,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,true
/mnt/sda4/software-metrics/static_metrics/jgit/org.eclipse.jgit/src/org/eclipse/jgit/api/Status.java,org.eclipse.jgit.api.Status,getChanged/0,false,117,1,2,1,1,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,true
/mnt/sda4/software-metrics/static_metrics/jgit/org.eclipse.jgit/src/org/eclipse/jgit/api/Status.java,org.eclipse.jgit.api.Status,getModified/0,false,142,1,2,1,1,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,true
