,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,commit_hash,project_name
37660,37660,37660,37660,37660,37660,37660,Package,(Unnamed_Package),examples/ClassDumper.java,3.0,3.0,3.0,1.0,22.0,2.0,16.0,4.0,,,,14.0,20.0,6.0,13.0,,46.0,38.0,66.0,,6.0,20.0,0.0,40.0,,2268.0,297.0,1372.0,501.0,826.0,656.0,,,838.0,1098.0,521.0,714.0,,,,,18.0,18.0,18.0,6.0,,5.0,,0,48,222,222,234,90,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
37661,37661,37661,37661,37661,37661,37661,Class,ClassDumper,examples/ClassDumper.java,2.0,2.0,2.0,1.0,23.0,1.0,14.0,7.0,1.0,14.0,0.0,,0.0,0.0,,,12.0,13.0,12.0,25.0,0.0,10.0,0.0,2.0,,312.0,32.0,183.0,43.0,121.0,105.0,,,119.0,152.0,49.0,113.0,,,,,5.0,5.0,6.0,1.0,1.0,2.0,80.0,0,57,31,31,33,12,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
37662,37662,37662,37662,37662,37662,37662,Public Constructor,"ClassDumper.ClassDumper(FileImageInputStream,String)",examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,3.0,10.0,0.0,4.0,1.0,2.0,6.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,0.0,,1,50,1,1,1,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
37663,37663,37663,37663,37663,37663,37663,Private Final Method,ClassDumper.constantToString(int),examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,0.0,4.0,2.0,2.0,0.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,,0,0,1,1,1,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
37664,37664,37664,37664,37664,37664,37664,Public Method,ClassDumper.dump(),examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,2.0,39.0,0.0,19.0,1.0,14.0,20.0,9.0,3.0,9.0,13.0,1.0,12.0,3.0,3.0,3.0,1.0,,,,,,2.0,,1,5,3,3,3,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
37665,37665,37665,37665,37665,37665,37665,Private Final Method,ClassDumper.processAttributes(),examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,5.0,17.0,2.0,10.0,2.0,6.0,5.0,4.0,2.0,8.0,10.0,3.0,7.0,2.0,2.0,2.0,1.0,,,,,,1.0,,0,50,2,2,2,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
37666,37666,37666,37666,37666,37666,37666,Private Final Method,ClassDumper.processClassInfo(),examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,11.0,30.0,2.0,20.0,1.0,16.0,8.0,9.0,4.0,11.0,14.0,1.0,13.0,3.0,3.0,4.0,1.0,,,,,,1.0,,0,40,3,3,4,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
37667,37667,37667,37667,37667,37667,37667,Private Final Method,ClassDumper.processConstantPool(),examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,6.0,34.0,3.0,23.0,3.0,17.0,8.0,8.0,7.0,14.0,19.0,4.0,16.0,5.0,5.0,6.0,1.0,,,,,,2.0,,0,35,5,5,6,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
37668,37668,37668,37668,37668,37668,37668,Private Final Method,ClassDumper.processFieldOrMethod(),examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,6.0,49.0,4.0,29.0,10.0,25.0,16.0,11.0,3.0,23.0,26.0,11.0,23.0,3.0,3.0,3.0,1.0,,,,,,2.0,,0,55,3,3,3,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
37669,37669,37669,37669,37669,37669,37669,Private Final Method,ClassDumper.processFields(),examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,3.0,20.0,2.0,12.0,2.0,7.0,6.0,5.0,3.0,8.0,11.0,3.0,8.0,3.0,3.0,3.0,1.0,,,,,,2.0,,0,50,3,3,3,1,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
